sku,quantity,movementType,source,movementDate
SKU9001,50,IN,PURCHASE,2026-05-05
SKU9001,100,OUT,SALE,2026-05-05
SKU9002,30,IN,PURCHASE,2026-05-05
SKU9002,16,OUT,SALE,2026-05-05
SKU9003,25,IN,RETURN,2026-05-05
SKU9004,80,IN,PURCHASE,2026-05-06
SKU9004,88,OUT,SALE,2026-05-06
SKU9005,60,IN,PURCHASE,2026-05-06
SKU9005,100,OUT,SALE,2026-05-06
SKU9006,15,IN,RETURN,2026-05-06
SKU#007,90,IN,PURCHASE,2026-05-07
SKU!007,70,OUT,SALE,2026-05-07
SKU9008,20,IN,PURCHASE,2026-05-07
SKU9008,20,OUT,SALE,2026-05-07
SKU9009,45,IN,PURCHASE,2026-05-07
SKU7004,80,IN,PURCHASE,2026-05-06
SKU8004,88,OUT,SALE,2026-05-06
SKU6004,60,IN,PURCHASE,2026-05-06
SKU3006,100,OUT,SALE,2026-05-06
SKU9006,15,IN,RETURN,2026-05-06
SKU1004,60,IN,
SKU1006,100,OUT,SALE,2026-05-08
SKU2006,15,IN,RETURN,2026-05-08
SKU4004,88,OUT,SALE,2026-05-06
SKU5004,60,IN,PURCHASE,2026-05-06
SKU2007,100,OUT,SALE,2026-05-06
SKU9006,15,IN,RETURN,2026-05-06
SKU3004,88,OUT,SALE,2026-05-06
SKU9016,15,IN,RETURN,2026-06-18
SKU3014,88,OUT,SALE,2026-06-18
